
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444411118120 ;SC ;BLUMENAU ;PASSO MANSO ;RUA LUZIA SOARES, N. 47, UNIDADE 01 ;400.000,00;400.000,00;0.00;Casa, 0.00 de área total, 130.76 de área privativa, 116.87 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411118120
 8787707842291 ;SC ;BLUMENAU ;PASSO MANSO ;RUA ELVIRA BORNHOFEN, N. 85, Apto 57, BL B ;230.000,00;230.000,00;0.00;Apartamento, 0.00 de área total, 55.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707842291
 1444417484146 ;SC ;BLUMENAU ;SALTO WEISSBACH ;RUA NORBERTO ACHTERBERG, N. 230, Apto 403, . ;230.000,00;228.000,00;0.00;Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417484146
 1444401663526 ;SC ;BLUMENAU ;VELHA ;RUA GENERAL OSORIO, N. 401, . ;550.000,00;475.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 682.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401663526
 10171276 ;SC ;BRACO DO NORTE ;SÃO FCO DE ASSIS ;RUA ISMAURINA ELISEU DEMETRIO, N. 00 ;213.500,00;305.000,00;30.00;Casa, 0.00 de área total, 90.00 de área privativa, 250.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171276
 8787700240806 ;SC ;BRACO DO NORTE ;SAO FRANCISCO DE ASS ;RUA GOVERNADOR IRINEU BORNHAUSEN, N. 2507, Apto 204B, VG BOX 15 BLOCO B ;256.000,00;256.000,00;0.00;Apartamento, 0.00 de área total, 50.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700240806
 8444401037232 ;SC ;BRUSQUE ;CEDRINHO ;TRAVESSA DOM JOAQUIM, N. 370, UNIDADE 11 ;78.650,00;143.000,00;45.00;Terreno, 0.00 de área total, 0.00 de área privativa, 224.70 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401037232
 8444416659625 ;SC ;BRUSQUE ;RIO BRANCO ;RUA GILBERTO HASSMANN, N. 797, UN 01 ;325.000,00;325.000,00;0.00;Casa, 0.00 de área total, 72.13 de área privativa, 215.65 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416659625
 1555523604380 ;SC ;BRUSQUE ;SOUZA CRUZ ;RUA CONSELHEIRO RICARDO KUCHEMBECKER, N. SN, LT 05 QD D SETOR 17 ;185.000,00;185.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 392.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555523604380
 8041200015231 ;SC ;BRUSQUE ;SOUZA CRUZ ;TRAVESSA LAGOA DOURADA, N. 511, Apto 401, BL D ;238.000,00;238.000,00;0.00;Apartamento, 0.00 de área total, 54.07 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8041200015231
 8444425317871 ;SC ;BRUSQUE ;AGUAS CLARAS ;R I, N. 50, Apto 101, TERREO ;180.000,00;180.000,00;0.00;Apartamento, 0.00 de área total, 57.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425317871
