
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787712339756 ;SP ;ANDRADINA ;JARDIM SAO LOURENCO ;RUA 9, N. 61, LT 11QD F ;122.269,11;115.000,00;0.00;Casa, 0.00 de área total, 50.82 de área privativa, 160.35 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712339756
 8787709766401 ;SP ;ARACATUBA ;ARACATUBA ;RUA OITO, N. 51, LT 05, QD H ;87.877,95;158.567,21;44.58;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709766401
 8555512209912 ;SP ;ARACATUBA ;AEROPORTO ;VIA AGNALDO FERNANDES, N. SN, CS 406 ;81.578,24;147.200,00;44.58;Casa, 0.00 de área total, 52.47 de área privativa, 80.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512209912
 8555529221317 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL PEDRO PERRI ;RUA HONORIO DE OLIVEIRA CAMARGO JUNIOR, N. 420, Apto 4, BL 03 ;58.191,00;105.000,00;44.58;Apartamento, 0.00 de área total, 52.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529221317
 8444415989931 ;SP ;ARACATUBA ;CENTRO ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 103, BL 03 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 47.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415989931
 8444416345825 ;SP ;ARACATUBA ;LOT JARDIM SAO RAFAE ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 890, LT 22 QD K ;115.200,00;192.000,00;40.00;Casa, 0.00 de área total, 98.46 de área privativa, 130.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416345825
 8555535051304 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 107, BL 03 ;74.400,00;124.000,00;40.00;Apartamento, 0.00 de área total, 45.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535051304
 8555517034185 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 2011, Apto 405, BLOCO 19 30 ANDAR VAGA DE GARAGEM 797 ;84.000,00;140.000,00;40.00;Apartamento, 0.00 de área total, 47.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555517034185
 8555524688969 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 2011, Apto 104, BL 24 GARAGEM 612 ;96.000,00;160.000,00;40.00;Apartamento, 0.00 de área total, 40.23 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524688969
 8787709831904 ;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 301, BL 15 ;81.000,00;135.000,00;40.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709831904
