
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444410389723 ;PR ;APUCARANA ;NUCLEO HABITACIONAL ;RUA SAO JOSE, N. 240, LT 20 QD 10 ;57.082,60;103.000,00;44.58;Casa, 56.00 de área total, 56.00 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410389723
 8555534305442 ;PR ;APUCARANA ;LOTEAMENTO SANCHES DOS SANTOS ;RUA IGRECIO VICTOR DE CARVALHO, N. 381, QD 02  LT 03 ;79.860,00;133.100,00;40.00;Casa, 0.00 de área total, 65.46 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534305442
 1444401024914 ;PR ;APUCARANA ;JARDIM MORADA DO SOL ;RUA CESAR MARCOS NAVIA, N. 219, QD 18, NR 15 ;113.050,00;175.000,00;35.40;Casa, 0.00 de área total, 98.50 de área privativa, 360.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401024914
 8444416001395 ;PR ;APUCARANA ;JARDIM AVIACAO ;RUA LAZARO BENEDITO, N. 56, QD 33 ;104.982,59;134.000,00;21.66;Casa, 0.00 de área total, 45.03 de área privativa, 100.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416001395
 8444414140193 ;PR ;APUCARANA ;LOT RESIDENCIAL INT ;RUA LIBERATO NOLLI, N. 552, LT 14 QD 45 ;148.776,50;179.000,00;16.89;Casa, 0.00 de área total, 64.40 de área privativa, 176.13 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414140193
 10190606 ;PR ;APUCARANA ;ZONA NORTE ;AVENIDA ZILDA SEIXAS AMARAL, N. 3650, LT C/L-1/2/2-A/2-REM ;2.843.000,00;2.843.000,00;0.00;Galpão, 0.00 de área total, 498.94 de área privativa, 22701.78 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10190606
 8555516234040 ;PR ;APUCARANA ;RESIDENCIAL INTERLAGOS ;RUA ROLIVAR BEJE, N. 1307, LT 03 QD 16 ;146.000,00;146.000,00;0.00;Casa, 0.00 de área total, 69.55 de área privativa, 137.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516234040
 8555531135155 ;PR ;APUCARANA ;LOTEAMENTO RESIDENCIAL TRES REIS ;RUA C, N. 256, LT 29 QD 6 ;163.000,00;163.000,00;0.00;Casa, 0.00 de área total, 90.31 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531135155
 8037900025690 ;PR ;APUCARANA ;LOTEAMENTO RESIDENCIAL VILLAGIO DI ROMA ;RUA JOAO PALKA, N. 151, Apto 23, BL 01 ;140.000,00;130.000,00;0.00;Apartamento, 0.00 de área total, 54.77 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8037900025690
 8444419538152 ;PR ;ARAPONGAS ;JARDIM SAO BENTO ;RUA MACURU PINTADO, N. 583 ;74.817,00;135.000,00;44.58;Casa, 0.00 de área total, 54.90 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419538152
