
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555531109995 ;MS ;CAMPO GRANDE ;RESIDENCIAL TERRA MORENA ;RUA ANTONIO THOME, N. 10, CS 01  LT 02  QD 17 ;85.346,80;154.000,00;44.58;Casa, 0.00 de área total, 45.79 de área privativa, 204.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531109995
 8555510110269 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA NOGUEIRA, N. 110, Apto 1, BL 05 ;61.516,20;111.000,00;44.58;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555510110269
 8555510130189 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA ARTUR NOGUEIRA, N. 110, Apto 3, BL 16 ;70.106,30;126.500,00;44.58;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555510130189
 8555516900776 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA CABREUVA, N. 107, Apto 1, BL 19, PAV TERREO, LT 01, QD 04 ;68.609,96;123.800,00;44.58;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516900776
 8555518644548 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA CABREUVA, N. 321, Apto 3, BL 06  LT 01  QD 09 ;55.420,00;100.000,00;44.58;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518644548
 8444412653754 ;MS ;CAMPO GRANDE ;CENTRO ;AVENIDA JOSE BARBOSA RODRIGUES, N. 251, QD 115 LT 26 BL 11 ;165.476,40;292.000,00;43.33;Casa, 133.75 de área total, 133.75 de área privativa, 351.90 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412653754
 8555513860765 ;MS ;CAMPO GRANDE ;PIONEIROS ;RUA LAGO ERIE, N. 367, Apto 2, BL B2 ;102.572,70;181.000,00;43.33;Apartamento, 0.00 de área total, 74.71 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513860765
 8787711725717 ;MS ;CAMPO GRANDE ;JARDIM TIJUCA ;RUA SERRA AZUL, N. 416, Apto 304, BL 01 ;100.100,13;167.700,00;40.31;Apartamento, 0.00 de área total, 46.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711725717
 8444424802598 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA RUA CABREUVA, N. 321, Apto 2, BL.06, LT.01, QD. 09 ;77.597,00;130.000,00;40.31;Apartamento, 47.58 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424802598
 8444420677802 ;MS ;CAMPO GRANDE ;JARDIM SAO CONRADO ;RUA CAPITAO FRANCISCO HOLANDA MOURA, N. 1203, CASA 01 LT 19 QD 18 ;96.000,00;160.000,00;40.00;Casa, 0.00 de área total, 66.07 de área privativa, 136.37 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420677802
 8444428067230 ;MS ;CAMPO GRANDE ;JARDIM CENTRO OESTE ;RUA DOS PINHEIRAIS, N. 451, CASA 02  LT 06  QD 02 ;102.300,00;170.500,00;40.00;Casa, 0.00 de área total, 56.20 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428067230
 8444420628003 ;MS ;CAMPO GRANDE ;MORADA DO SOL ;RUA JAMARIS, N. 110, LT 02 QD 15 CS 01 ;84.300,00;140.500,00;40.00;Casa, 0.00 de área total, 55.90 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420628003
 8555534074556 ;MS ;CAMPO GRANDE ;PARQUE RESIDENCIAL RITA VIEIRA ;RUA CESAR RAMOS DOS SANTOS, N. 280, Apto 4,  TERREO BLC A LT AZ3B1 ;93.300,00;155.500,00;40.00;Apartamento, 0.00 de área total, 42.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534074556
