
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444422122719 ;PI ;ALTOS ;RESIDENCIAL PRIMAVER ;RUS XII, N. 480, NUMERO 17 ;81.467,40;147.000,00;44.58;Casa, 0.00 de área total, 63.97 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422122719
 8555526239703 ;PI ;ALTOS ;JD. CIDADE RESIDENCI ;RUA RUA PERIMETRAL, N. 516, QD. R, LT. 10 ;29.372,60;53.000,00;44.58;Casa, 40.26 de área total, 40.26 de área privativa, 278.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526239703
 8555532470780 ;PI ;ALTOS ;LOT JARDIM CIDADE RE ;RUA III, N. 1375, QD L, LOTE 04 ;53.757,40;97.000,00;44.58;Casa, 0.00 de área total, 54.00 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532470780
 8555535689210 ;PI ;ALTOS ;SANTA LUZ ;RUA VI, N. 397, LT 02 QD F ;45.998,60;83.000,00;44.58;Casa, 53.81 de área total, 53.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535689210
 8444413274986 ;PI ;ALTOS ;CENTRO ;RUA BURITI, N. 272, 0 ;45.832,34;82.700,00;44.58;Casa, 0.00 de área total, 60.00 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413274986
 8444423758447 ;PI ;ALTOS ;TRANQUEIRA ;RUA X, N. 510, QUADRA J-1, LOTE 07, CASA 510 ;73.671,00;130.000,00;43.33;Casa, 62.43 de área total, 62.43 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423758447
 8444425697410 ;PI ;ALTOS ;SANTA INÊS ;RUA PROJETADA I, N. 44, LOTE I ;68.004,00;120.000,00;43.33;Casa, 0.00 de área total, 58.00 de área privativa, 200.90 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425697410
 8444425841872 ;PI ;ALTOS ;SÃO SEBASTIÃO ;RUA XXII, N. 115, LT 12, QD J ;55.536,60;98.000,00;43.33;Casa, 0.00 de área total, 52.63 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425841872
 8444425642918 ;PI ;ALTOS ;CENTRO ;RUA RUA ANTONIO RIBEIRO, N. 400 ;81.775,30;137.000,00;40.31;Casa, 62.83 de área total, 62.83 de área privativa, 277.77 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425642918
 8444417907100 ;PI ;ALTOS ;MATADOURO ;RUA ANTONIO RIBEIRO, N. 3003, . ;86.764,83;144.608,05;40.00;Casa, 0.00 de área total, 64.33 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417907100
