
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787708715765 ;ES ;SERRA ;SAO PATRICIO ;RUA SAO PAULO, N. 1163, Apto 204, BL 09 ;66.504,00;120.000,00;44.58;Apartamento, 0.00 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708715765
 8555518680994 ;ES ;SERRA ;MORADA DE LARANJEIRAS ;RUA MINAS GERAIS, N. 166, Apto 302, BL12 STA2 ;54.969,90;97.000,00;43.33;Apartamento, 0.00 de área total, 43.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518680994
 10137802 ;ES ;SERRA ;ALTEROSAS ;RUA RIO DE JANEIRO, QD Y, LT 10A ;695.930,40;1.188.000,00;41.42;Comercial, 0.00 de área total, 783.40 de área privativa, 1250.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137802
 8555506911678 ;ES ;SERRA ;ESTANCIA MONAZÍTICA ;AVENIDA ABIDO SAADI, N. 1350, Apto 206, LT 123  QD 24 ;81.600,00;136.000,00;40.00;Apartamento, 0.00 de área total, 56.00 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555506911678
 8555534850653 ;ES ;SERRA ;PRAIA DA BALEIA ;AVENIDA DESEMBARGADOR ANTONIO JOSE MIGUEL FEU RO, N. 665, Apto 401, BL 19 ;91.800,00;153.000,00;40.00;Apartamento, 0.00 de área total, 55.48 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534850653
 8555525418957 ;ES ;SERRA ;JARDIM ATLANTICO ;RUA SANTA LUCIA, N. 3098, Apto 604, BL B QD 51 LT 1A ;87.000,00;145.000,00;40.00;Apartamento, 0.00 de área total, 41.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525418957
 1444407459530 ;ES ;SERRA ;MATA DA SERRA ;RUA DO SUA, N. 266, QD J, LT 01 ;500.650,00;775.000,00;35.40;Casa, 218.58 de área total, 218.58 de área privativa, 251.55 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407459530
 1444417091187 ;ES ;SERRA ;SANTA LUZIA ;RODOVIA NORTE SUL, N. 4148, Apto 806, COBERTURA, BL C ;411.502,00;637.000,00;35.40;Apartamento, 0.00 de área total, 129.49 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417091187
 8444413406602 ;ES ;SERRA ;CASCATA ;RUA DOS CACTOS, N. SN, LT 32 QD 13 ;46.020,00;70.800,00;35.00;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413406602
 8555523900433 ;ES ;SERRA ;JARDIM ATLANTICO ;RUA SANTA LUZIA, N. 883, Apto 806, TORRE 02 ;126.750,00;195.000,00;35.00;Apartamento, 0.00 de área total, 51.67 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523900433
