
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444407268899 ;RO ;PORTO VELHO ;TRES MARIAS ;RUA CORUMBA, N. 2740, 0 ;85.800,00;143.000,00;40.00;Casa, 0.00 de área total, 113.96 de área privativa, 262.88 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407268899
 8787708422105 ;RO ;PORTO VELHO ;PLANALTO ;RUA ERNANDES INDIO, N. 7121, CS 11 QD 11 ;151.844,60;239.000,00;36.47;Casa, 0.00 de área total, 51.02 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708422105
 1555500162004 ;RO ;PORTO VELHO ;AGENOR DE CARVALHO ;RUA ARRUDA FONTES CABRAL, N. 971, LT 0159 QD 083 ;250.648,00;388.000,00;35.40;Casa, 0.00 de área total, 267.60 de área privativa, 476.13 de área do terreno,  4 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555500162004
 1444405639670 ;RO ;PORTO VELHO ;CASTANHEIRA ;RUA ITAPETINGA, N. 5553, LT 250 QD 017 ;191.216,00;296.000,00;35.40;Casa, 146.65 de área total, 146.65 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405639670
 1444410789669 ;RO ;PORTO VELHO ;APONIA ;RUA ENRICO CARUSO, N. 6669, LT 20  QD 01 ;271.320,00;420.000,00;35.40;Casa, 0.00 de área total, 215.08 de área privativa, 275.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410789669
 1444408300704 ;RO ;PORTO VELHO ;LAGOINHA ;RUA DOIS IRMAOS, N. SN, QD 5 SETOR 16 ;144.950,00;223.000,00;35.00;Casa, 0.00 de área total, 194.11 de área privativa, 600.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408300704
 1444405027586 ;RO ;PORTO VELHO ;CENTRO ;RUA D, N. 744, 0 ;202.353,34;289.076,20;30.00;Casa, 0.00 de área total, 167.87 de área privativa, 275.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405027586
 1787700728827 ;RO ;PORTO VELHO ;PLANALTO ;RUA ERNANDES INDIO, N. SN, CS 249 QD 02 ;178.324,02;223.000,00;20.04;Casa, 0.00 de área total, 51.02 de área privativa, 145.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700728827
 1555526656314 ;RO ;PORTO VELHO ;FLORESTA ;RUA ACAI, N. SN, LT 463 QD 52 SETOR 21 ;324.000,00;324.000,00;0.00;Casa, 0.00 de área total, 186.33 de área privativa, 324.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526656314
 1444406523005 ;RO ;PORTO VELHO ;NOVA PORTO VELHO ;AVENIDA RIO MADEIRA, N. 2343, Apto 303, BLOCO D ;161.000,00;161.000,00;0.00;Apartamento, 0.00 de área total, 58.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406523005
