
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555534132246 ;PA ;ANANINDEUA ;DISTRITO INDUSTRIAL ;AVENIDA ZACARIAS DE ASSUNCAO, N. SN, Apto 201, BLOCO 15 ;75.600,00;126.000,00;40.00;Apartamento, 0.00 de área total, 41.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534132246
 8787700829869 ;PA ;ANANINDEUA ;DISTRITO INDUSTRIAL ;RUA VITORIA, N. 2150, 0 ;84.000,00;140.000,00;40.00;Casa, 0.00 de área total, 60.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700829869
 8555538952752 ;PA ;ANANINDEUA ;AURA ;ESTRADA DO AURA, N. 71, TIPO GARDEN ;101.400,00;169.000,00;40.00;Casa, 0.00 de área total, 55.21 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538952752
 1444406777589 ;PA ;ANANINDEUA ;COQUEIROS ;RODOVIA  MARIO COVAS, N. 0, Apto 28, BL 09 ;78.812,00;122.000,00;35.40;Apartamento, 0.00 de área total, 43.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406777589
 1131500001113 ;PA ;ANANINDEUA ;COQUEIRO ;TRAVESSA WE  34, N. 132, CONJ HAB CIDADE NOVA IV ;157.624,00;244.000,00;35.40;Casa, 0.00 de área total, 148.78 de área privativa, 202.01 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1131500001113
 1444405057248 ;PA ;ANANINDEUA ;COQUEIRO ;TRAVESSA  III, N. 62 ;105.298,00;163.000,00;35.40;Casa, 102.47 de área total, 102.47 de área privativa, 154.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405057248
 1787700054850 ;PA ;ANANINDEUA ;COQUEIRO ;RODOVIA MARIO COVAS, N. 18D01, Apto 301, BL 05 ;87.856,00;136.000,00;35.40;Apartamento, 0.00 de área total, 41.04 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700054850
 1444403202291 ;PA ;ANANINDEUA ;AGUAS BRANCAS ;RUA DOIS DE JUNHO, N. 28, ALAMEDA 06, LT 28, QD 12 ;171.190,00;265.000,00;35.40;Casa, 0.00 de área total, 112.00 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403202291
 1444404697855 ;PA ;ANANINDEUA ;AGUAS BRANCAS ;RUA DA AZPA N SN LOTE 01A QUADRA B, N. 0 ;204.136,00;316.000,00;35.40;Casa, 0.00 de área total, 204.00 de área privativa, 118.45 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404697855
 1444406689353 ;PA ;ANANINDEUA ;AGUAS BRANCAS ;RUA DOIS D 5, N. SN, LT 18, QD 10, ALAMEDA 05 ;122.094,00;189.000,00;35.40;Casa, 0.00 de área total, 105.90 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406689353
