
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444400230367 ;RJ ;ARARUAMA ;LOT VILA VENEZA ;AVENIDA DOS COQUEIROS, N. 100, Apto 203, BLOCO 14 ;109.174,00;169.000,00;35.40;Apartamento, 0.00 de área total, 68.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400230367
 1444400897841 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA DO ENGENHO NOVO N 264 5416LOTEAMENTO VILAR ARA, N. 264, LT 16 QD 54 ;274.550,00;425.000,00;35.40;Casa, 0.00 de área total, 237.93 de área privativa, 628.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400897841
 1444401998552 ;RJ ;ARARUAMA ;ENGEITADO ;RUA SEIXAS MARIA, N. 48, CS 102 ;151.164,00;234.000,00;35.40;Casa, 0.00 de área total, 88.08 de área privativa, 180.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401998552
 1444403716635 ;RJ ;ARARUAMA ;TOME PRAIA SECA ;RUA CANIMBE, N. 202, QD 5, LT 11 ;171.836,00;266.000,00;35.40;Casa, 0.00 de área total, 223.50 de área privativa, 360.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403716635
 1444404293495 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA MINAS GERAIS, N. 21, LT 183 ;303.620,00;470.000,00;35.40;Casa, 153.64 de área total, 153.64 de área privativa, 650.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404293495
 1444407697368 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA SANTA CLARISSE, N. 220, LT 05 QD 47 ;182.818,00;283.000,00;35.40;Casa, 0.00 de área total, 240.00 de área privativa, 600.00 de área do terreno,  6 qto(s), a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407697368
 1444417060613 ;RJ ;ARARUAMA ;BANANEIRAS ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CS 04 LT 12 ;151.164,00;234.000,00;35.40;Casa, 0.00 de área total, 97.30 de área privativa, 113.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417060613
 1555510600551 ;RJ ;ARARUAMA ;PRAIA SECA ;RUA 5, N. 0, TERRENO 17, QD 41 ;187.581,37;290.373,63;35.40;Casa, 0.00 de área total, 70.00 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555510600551
 1444407595930 ;RJ ;ARARUAMA ;CENTRO (MORRO GRANDE) ;R REX, N. 100, QD17-A, LT375 ;143.412,00;222.000,00;35.40;Casa, 134.40 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407595930
 1555515278585 ;RJ ;ARARUAMA ;AREAL ;RUA FONSECA, N. 0, QD 06 LT 01 ;229.976,00;356.000,00;35.40;Casa, 0.00 de área total, 301.14 de área privativa, 594.63 de área do terreno,  5 qto(s), WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515278585
 1444417473128 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO N SN 110 4B, N. SN, CASA ;148.580,00;230.000,00;35.40;Casa, 0.00 de área total, 81.11 de área privativa, 106.06 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417473128
 1444415254194 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA JOAO RAMALHO, N. 108, LT 06 QD A ;193.800,00;300.000,00;35.40;Casa, 0.00 de área total, 221.39 de área privativa, 540.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415254194
