
 Lista de Imóveis da Caixa;;Data de geração:;30/08/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444422353036 ;CE ;CAUCAIA ;PARQUE GUADALAJARA ;RUA VERA CRUZ, N. 2020, Apto 5, LT 29 QD 62 ;90.000,00;150.000,00;40.00;Apartamento, 0.00 de área total, 48.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422353036
 8787700363193 ;CE ;CAUCAIA ;PARQUE POTIRA ;RUA MOZART PINTO, N. 1000, Apto 104, BLOCO H ;85.200,00;142.000,00;40.00;Apartamento, 0.00 de área total, 49.70 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700363193
 8787701145130 ;CE ;CAUCAIA ;PARQUE ALBANO JUREMA ;RUA MOZART PINTO, N. 1000, Apto 102, BL E ;75.600,00;126.000,00;40.00;Apartamento, 0.00 de área total, 49.70 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701145130
 8787708572328 ;CE ;CAUCAIA ;PARQUE GUADALAJARA ;RUA ACAPULCO, N. 1578, Apto 202, BL A  TIPO B ;90.600,00;151.000,00;40.00;Apartamento, 0.00 de área total, 51.05 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708572328
 1444410417966 ;CE ;CAUCAIA ;NOVA METROPOLE (JUREMA) ;RUA 224, N. 42, QO-12, LT05 ;162.146,00;260.000,00;37.64;Casa, 0.00 de área total, 127.00 de área privativa, 160.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410417966
 1444403613364 ;CE ;CAUCAIA ;ICARAI ;RUA CAUBY DAMASCENO (ANTIGA RUA A), N. 354, Apto 303, ED ALVORADA ;109.147,75;168.959,38;35.41;Apartamento, 106.18 de área total, 80.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403613364
 1444407307420 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA CONSUNEL, N. 745, Apto 203 ;98.192,00;152.000,00;35.40;Apartamento, 0.00 de área total, 62.96 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407307420
 1555530334792 ;CE ;CAUCAIA ;CONJUNTO METROPOLITANO ;RUA SANTO ANTONIO, N. 100, CS 09 ;107.882,00;167.000,00;35.40;Casa, 0.00 de área total, 67.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530334792
 8444403551146 ;CE ;CAUCAIA ;ICARAI ;RUA ALEXANDRE LIMA ANTIGA RUA Q, N. SN, CASA 16  BL C ;139.100,00;214.000,00;35.00;Casa, 0.00 de área total, 113.67 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403551146
 8444420864327 ;CE ;CAUCAIA ;CURICACA ;RUA ANANIAS ALEXANDRE, N. 15, CASA 905A ;126.750,00;195.000,00;35.00;Casa, 0.00 de área total, 67.42 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420864327
 8444400424780 ;CE ;CAUCAIA ;TABUBA ;AVENIDA CENTRAL, N. 122, 201,, N. 122, Apto 201, 2º PAVIMENTO DO EDIFICIO DANASSE ;150.770,39;231.954,44;35.00;Apartamento, 172.22 de área total, 129.17 de área privativa, 1330.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400424780
 1444413547100 ;CE ;CAUCAIA ;PARQUE LEBLON ;RUA PEDRO BOEMIO, N. 1725, CASA 06 ;129.114,99;175.000,00;26.23;Casa, 72.15 de área total, 71.99 de área privativa, 111.01 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413547100
 8444420278584 ;CE ;CAUCAIA ;PARQUE GUADALAJARA J ;RUA VERA CRUZ, N. 1649, Apto 203, TIPO B LT 17 QD 50 ;121.217,67;139.000,00;12.80;Apartamento, 0.00 de área total, 44.16 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420278584
 8444401114903 ;CE ;CAUCAIA ;PARQUE POTIRA JUREMA ;RUA VERA CRUZ, N. 2215, Apto 203, BL B ;157.000,00;157.000,00;0.00;Apartamento, 0.00 de área total, 51.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401114903
 8555525464967 ;CE ;CAUCAIA ;ARIANOPOLIS ;RUA PADRE JOSE MARIA MOURA, N. 396, Apto 303, BLOCO C TIPO B ;147.000,00;147.000,00;0.00;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525464967
